ZONE,CIRCLE,DIVISION,DIV_CODE_x,area,1ph_sm,1ph_tot,3ph_sm,3ph_tot,CONSUMPTION_CURR_MNTH,CURRENT_ASSESSMENT,HT_sm,HT_tot,billable,idf,mobile_no,mri_billing,mu_billed,neg_inf,ocr_billing,pos_inf,rdf,real,rem_luc,rem_np,slab_abv_10k,tagged,td_cnt,total,total_billed,turn_up,ce%,turn_up %
SITAPUR,EDC HARDOI,EDD SANDILA,DIV392414,"imam chauk,malkana,makum kua,chhota chauraha,mangal bazar,imaliyag chauraha,mandaai,atrauli road,garhi mandai,chaudhari hata,kisan tola",921,4345,0,16,759121.61,6182591.58,0,1,4361,48,4337,1722,3370,2,564,18,0,3830909,5,5,190,4361,15,4361,3762,2084,62.0%,55.4%
SITAPUR,EDC HARDOI,EDD SANDILA,DIV392414,"kothawan town,beniganj road,sandila road,atrauli road,malehra market",229,2891,0,30,433427.36,3020885.83,0,1,2917,35,2804,486,1608,2,407,6,0,1241155,493,493,732,2921,364,2921,2528,706,41.1%,27.9%
SITAPUR,EDC HARDOI,EDD SANDILA,DIV392414,"railwayganj, kukuhi,gaju tiraha,sumitra tiraha,kachhauna town,gol building,islam nagar,tilak nagar,station road balamau",6,3427,0,25,609129.35,4859042.95,0,1,3452,49,3239,883,2483,1,643,8,0,2484757,170,170,572,3452,188,3452,3366,1219,51.1%,36.2%
SITAPUR,EDC HARDOI,EDD SHAHABAD,DIV392413,"badi pihani/chhoti pihani,mishrana,kanjar chauraha,naagar,chhipitola",1104,5437,0,29,874879.41,3877816.73,0,0,5466,6,5297,360,2758,5,699,1,0,3085389,729,729,1506,5449,486,5466,4829,1616,79.6%,33.5%
SITAPUR,EDC HARDOI,EDD SHAHABAD,DIV392413,"beniganj,sarai saif,sulah sarai,patiyaneem,imam chowk",248,5740,2,83,1087161.18,5009617.99,0,0,5823,42,5582,881,3921,7,1341,8,0,2860285,990,990,1927,5725,707,5823,5554,1683,57.1%,30.3%
SITAPUR,EDC HARDOI,EDD SHAHABAD,DIV392413,"chowk,khera balaikot,khera ajmat,khera bibijai,akhtiyarpur,dilawarpur",1087,3454,1,29,545707.76,7195440.4,0,0,3483,23,3186,677,2805,6,594,5,0,2543121.28,91,91,470,3483,123,3483,3311,1444,35.3%,43.6%
SITAPUR,EDC LAKHIMPUR,EDD III LAKHIMPUR NIGHASAN,DIV392263,chakhara,14,1681,0,22,233697.43,1868668.47,0,2,1703,9,1623,13,1476,3,141,1,0,371058,92,92,582,1692,112,1703,1653,151,19.9%,9.1%
SITAPUR,EDC LAKHIMPUR,EDD III LAKHIMPUR NIGHASAN,DIV392263,dhaurahra,1102,4167,3,38,737293.6,5417121.16,0,1,4205,242,3961,52,2359,10,1043,22,0,1703837.6,263,263,1355,4168,1345,4205,3352,792,31.5%,23.6%
SITAPUR,EDC LAKHIMPUR,EDD III LAKHIMPUR NIGHASAN,DIV392263,nighasan,625,2481,2,67,766621.1,4559046.12,0,0,2548,24,2294,58,1722,10,453,11,0,2788947.84,292,292,844,2527,375,2548,2275,525,61.2%,23.1%
SITAPUR,EDC LAKHIMPUR,EDD III LAKHIMPUR NIGHASAN,DIV392263,singahi,51,3195,1,26,563161.6,3731500.02,0,0,3221,54,2782,14,2334,10,1153,17,0,1039715,230,230,923,3138,602,3221,2935,656,27.9%,22.4%
SITAPUR,EDC LAKHIMPUR,EDD LAKHIMPURKHIRI,DIV392261,"krishna nagar, shastri nagar",41,197,0,1,44805.47,385352.55,0,0,198,2,198,41,175,0,70,2,0,259627,0,0,40,198,1,198,193,89,67.4%,46.1%
SITAPUR,EDC LAKHIMPUR,EDD-MITAULI LAKHIMPURKHIRI,DIV392262,"ambedkar murti area, badi bazar area, nai masjid, paschim mohalla, ram rakhan colony, anshari gali, mainahan road, uttar mohalla, purani masjid, badagaon tiraha, dhakaiyya , kachiyani purwa",85,944,0,4,75247.72,731670.08,0,0,948,26,901,12,779,2,655,0,0,67873,204,204,511,940,163,948,914,62,9.3%,6.8%
SITAPUR,EDC LAKHIMPUR,EDD-MITAULI LAKHIMPURKHIRI,DIV392262,"badagaon,chafandi, balakram purwa",13,166,0,2,15068.1,188679.2,0,0,168,5,156,1,147,0,141,0,0,18539,40,40,141,168,20,168,163,5,9.8%,3.1%
SITAPUR,EDC LAKHIMPUR,EDD-MITAULI LAKHIMPURKHIRI,DIV392262,"bagiya mohalla, julahan tola, muraun tola,kabadiyan tola,sewala,ektanagar,thatheran tola, kotwali, mahaviri, bagiya, jagatiya, chamraudha, techers colony, shiwala gadhi",45,310,0,3,36899.909999999996,492224.45,0,0,313,10,297,3,258,0,196,0,0,28215,84,84,229,312,81,313,308,6,5.7%,1.9%
SITAPUR,EDC LAKHIMPUR,EDD-MITAULI LAKHIMPURKHIRI,DIV392262,"bheraghasi, mahola baibha, nijampur nikati,ambersot, ambuwapur,bhanpur haruwa,gopalapur,tiyatilok, bajudiha,padri mohan",638,2264,1,17,337040.57,3013901.82,0,0,2280,15,2217,11,1890,0,1175,3,0,159188,636,636,1468,2236,325,2281,2112,85,5.3%,4.0%
SITAPUR,EDC LAKHIMPUR,EDD-MITAULI LAKHIMPURKHIRI,DIV392262,"fardhan, rampur gokul, dhaurahra, ganeshpur",348,1504,1,19,159163.44,1631013.94,0,0,1521,48,1355,30,946,2,703,0,0,366837,297,297,763,1486,158,1523,1382,132,22.5%,9.6%
SITAPUR,EDC LAKHIMPUR,EDD-MITAULI LAKHIMPURKHIRI,DIV392262,"sunderwal, saidipur ashogapur, belihan",101,1665,0,9,495936.49,4142973.18,0,1,1671,168,1516,102,1269,0,780,0,0,1001035,307,307,962,1669,268,1674,1618,143,24.2%,8.8%
SITAPUR,EDC SITAPUR,EDD BISWAN,DIV392323,laharpur town,167,1698,0,32,335917.16,2820617.39,0,2,1704,50,1710,375,1378,0,466,1,0,2105422,16,16,84,1714,6,1730,1603,838,74.6%,52.3%
