ZONE,CIRCLE,DIVISION,DIV_CODE_x,area,1ph_sm,1ph_tot,3ph_sm,3ph_tot,CONSUMPTION_CURR_MNTH,CURRENT_ASSESSMENT,HT_sm,HT_tot,billable,idf,mobile_no,mri_billing,mu_billed,neg_inf,ocr_billing,pos_inf,rdf,real,rem_luc,rem_np,slab_abv_10k,tagged,td_cnt,total,total_billed,turn_up,ce%,turn_up %
BAREILLY II,EDC PHILIBHIT,EDD PILIBHIT,DIV382041,"station road, madhuban colony, ballabh nagar, awash vikash, lal road, jp road, ekta nagar ashok colony , khudaganj, panjabian",7958,12180,66,216,2701408.64,23637098.56,1,1,12350,47,12303,1440,11892,49,1888,36,0,14179908.06,23,23,1254,12387,12,12396,12237,5889,60.0%,48.1%
BAREILLY II,EDC PHILIBHIT,EDD PURANPUR,DIV382042,"moh bamanpuri, linepar sahukara & moh chauk",1719,4905,1,67,809797.95,7445095.69,0,1,4971,23,4643,1170,4488,8,1153,7,0,5040713,250,250,1241,4954,6,4972,4913,1823,67.7%,37.1%
BAREILLY II,EDC SHAJAHANPUR,EDD TILHAR,DIV382131,degree college,486,3699,3,56,753901.32,4269428.7700000005,0,1,3754,51,3573,1390,3148,4,738,3,0,4033171,60,60,490,3754,26,3755,3690,1611,94.5%,43.7%
BAREILLY II,EDC SHAJAHANPUR,EDD TILHAR,DIV382131,"eid gah, islam nagar, 1st point",486,6018,4,115,1263631.17,11792004.68,0,4,6114,200,5682,896,4622,6,2032,23,0,5080363.96,1094,1094,2365,6131,671,6133,6052,1765,43.1%,29.2%
BAREILLY II,EDC SHAJAHANPUR,EDD TILHAR,DIV382131,khudaganj,180,2130,1,33,416927.71,3630500.68,0,4,2156,97,2022,176,1597,4,677,5,0,1464860,384,384,644,2135,326,2163,2098,568,40.3%,27.1%
BAREILLY II,EDC SHAJAHANPUR,EDD-SHAJAHANPUR,DIV382132,anta,1208,4381,19,87,1161918.85,10162367.7,1,3,4468,13,4178,1438,4138,16,1185,0,0,6392807.83,32,32,706,4461,9,4468,4401,2286,62.9%,51.9%
BAREILLY II,EDC SHAJAHANPUR,EDD-SHAJAHANPUR,DIV382132,hayatpura,2795,7415,25,178,1757793.73,14070563.33,0,5,7254,122,7301,2079,6740,28,1533,2,0,9243767.58,43,43,1363,7565,41,7593,7124,3298,65.7%,46.3%
BAREILLY II,EDC SHAJAHANPUR,EDD-SHAJAHANPUR,DIV382132,reti,1337,3256,6,56,641961.64,5578611.79,0,3,3172,61,3222,865,2988,11,675,0,0,3294386,17,17,510,3294,25,3312,3136,1419,59.1%,45.2%
DEVIPATAN ZONE,EDC BAHRAICH,EDD BAHRAICH,DIV354921,bashirganj,916,8846,22,276,2319705.91,19823948.15,0,5,9118,12,9003,3044,8419,28,3568,6,0,15633151,5,5,1085,9100,6,9122,8999,5170,78.9%,57.5%
DEVIPATAN ZONE,EDC GONDA,EDD- COLONELGANJ GONDA,DIV355213,colonelganj tahseel,1430,6348,7,89,2018510.89,15819524.61,4,5,6437,56,5488,279,4036,22,1527,46,0,6436528,591,591,1928,6348,382,6437,6273,1743,40.7%,27.8%
