ZONE,CIRCLE,DIVISION,DIV_CODE_x,area,1ph_sm,1ph_tot,3ph_sm,3ph_tot,CONSUMPTION_CURR_MNTH,CURRENT_ASSESSMENT,HT_sm,HT_tot,billable,idf,mobile_no,mri_billing,mu_billed,neg_inf,ocr_billing,pos_inf,rdf,real,rem_luc,rem_np,slab_abv_10k,tagged,td_cnt,total,total_billed,turn_up,ce%,turn_up %
RAEBARELI,EDC UNNAO,EDD III UNNAO PURWA,DIV332543,asgarganj,0,431,0,3,41408.2,234257.05000000002,0,0,434,2,372,16,254,0,16,0,0,130217,29,29,94,434,2,434,427,79,55.6%,18.5%
RAEBARELI,EDC UNNAO,EDD III UNNAO PURWA,DIV332543,mangat kheda,3,604,0,6,108833.95999999999,782805.28,0,1,610,3,574,93,547,1,108,0,0,505208,12,12,49,610,82,610,599,230,64.5%,38.4%
RAEBARELI,EDC UNNAO,EDD IV UNNAO BANGARMAU,DIV332544,fatehpur 84 kasba,37,2211,0,12,314698.5,2406897.01,0,0,2223,66,2081,221,1304,3,196,3,0,1199314,77,77,275,2202,8,2223,2153,678,49.8%,31.5%
RAEBARELI,EDC UNNAO,EDD IV UNNAO BANGARMAU,DIV332544,ganjmuradabad kasba,5,2935,6,26,484149.04,7486309.46,1,1,2961,19,2771,822,2289,1,579,2,0,2046539,101,101,204,2946,291,2961,2913,1341,27.3%,46.0%
RAEBARELI,EDC UNNAO,EDD IV UNNAO BANGARMAU,DIV332544,kursath kasba,1,701,0,3,59322.1,420801.22,0,0,704,6,674,7,500,0,16,0,0,234894,18,18,26,689,19,704,693,213,55.8%,30.7%
RAEBARELI,EDC UNNAO,EDD IV UNNAO BANGARMAU,DIV332544,ugu kasba,2,1073,0,0,94431,655644.72,0,0,1073,3,981,234,708,0,92,0,0,328647,9,9,72,1065,24,1073,1064,461,50.1%,43.3%
RAEBARELI,EDC UNNAO,EDD V UNNAO HASANGANJ,DIV332545,auras town,11,6781,2,101,926513.18,4726417.93,0,0,6880,172,6253,439,4229,14,368,2,0,1866452,1513,1513,2097,6783,848,6882,6673,1086,39.5%,16.3%
RAEBARELI,EDC UNNAO,EDD V UNNAO HASANGANJ,DIV332545,hasanganj tehseel,3,1602,8,47,528543.54,3776884.7399999998,0,0,1649,28,1574,397,1075,2,65,5,0,2056348,138,138,358,1640,52,1649,1596,595,54.4%,37.3%
RAEBARELI,EDC UNNAO,EDD V UNNAO HASANGANJ,DIV332545,mohan town,1331,3200,1,45,699526.63,5788593.17,0,1,3244,52,3170,760,2658,4,94,2,0,4079270,88,88,299,3216,95,3245,3128,1534,70.5%,49.0%
RAEBARELI,EDC UNNAO,EDD V UNNAO HASANGANJ,DIV332545,nawabganj town,488,2941,3,69,1082484.21,9919168.42,0,1,3010,29,2766,360,2166,6,72,4,0,7578697,151,151,410,3009,203,3010,2930,1055,76.4%,36.0%
